Source,Type,Date,Amount,Month,Financial Year
ABSL,Mutual Fund,May/2018,"₹4,337.31",5,2018–2019
ABSL,Mutual Fund,Jun/2018,"₹2,272.18",6,2018–2019
ABSL,Mutual Fund,Jul/2018,"₹3,629.54",7,2018–2019
ABSL,Mutual Fund,Aug/2018,"₹3,408.73",8,2018–2019
ABSL,Mutual Fund,Sep/2018,"₹3,031.47",9,2018–2019
ABSL,Mutual Fund,Oct/2018,"₹1,676.19",10,2018–2019
ABSL,Mutual Fund,Nov/2018,"₹3,673.83",11,2018–2019
ABSL,Mutual Fund,Dec/2018,"₹2,599.46",12,2018–2019
ABSL,Mutual Fund,Jan/2019,"₹2,682.07",1,2018–2019
ABSL,Mutual Fund,Feb/2019,"₹1,858.99",2,2018–2019
ABSL,Mutual Fund,Mar/2019,"₹3,441.37",3,2018–2019
SBI,Mutual Fund,Apr/2018,₹561.12,4,2018–2019
SBI,Mutual Fund,May/2018,₹816.49,5,2018–2019
SBI,Mutual Fund,Jun/2018,₹627.01,6,2018–2019
SBI,Mutual Fund,Jul/2018,₹644.27,7,2018–2019
SBI,Mutual Fund,Aug/2018,₹0.00,8,2018–2019
SBI,Mutual Fund,Sep/2018,₹703.27,9,2018–2019
SBI,Mutual Fund,Oct/2018,₹749.71,10,2018–2019
SBI,Mutual Fund,Nov/2018,"₹1,098.85",11,2018–2019
SBI,Mutual Fund,Dec/2018,₹812.36,12,2018–2019
SBI,Mutual Fund,Jan/2019,₹706.49,1,2018–2019
SBI,Mutual Fund,Feb/2019,₹355.77,2,2018–2019
SBI,Mutual Fund,Mar/2019,₹630.19,3,2018–2019
Reliance,Mutual Fund,Apr/2018,"₹2,366.28",4,2018–2019
Reliance,Mutual Fund,May/2018,"₹2,446.21",5,2018–2019
Reliance,Mutual Fund,Jun/2018,₹0.00,6,2018–2019
Reliance,Mutual Fund,Jul/2018,₹262.75,7,2018–2019
Reliance,Mutual Fund,Aug/2018,₹842.22,8,2018–2019
Reliance,Mutual Fund,Sep/2018,₹433.85,9,2018–2019
Reliance,Mutual Fund,Oct/2018,₹549.50,10,2018–2019
Reliance,Mutual Fund,Nov/2018,₹775.63,11,2018–2019
Reliance,Mutual Fund,Dec/2018,₹686.15,12,2018–2019
Reliance,Mutual Fund,Jan/2019,₹679.83,1,2018–2019
Reliance,Mutual Fund,Feb/2019,₹586.57,2,2018–2019
Reliance,Mutual Fund,Mar/2019,₹0.00,3,2018–2019
Axis,Mutual Fund,Apr/2018,₹984.28,4,2018–2019
Axis,Mutual Fund,May/2018,"₹1,126.46",5,2018–2019
Axis,Mutual Fund,Jun/2018,"₹1,122.87",6,2018–2019
Axis,Mutual Fund,Jul/2018,"₹1,169.79",7,2018–2019
Axis,Mutual Fund,Aug/2018,"₹1,098.73",8,2018–2019
Axis,Mutual Fund,Sep/2018,"₹1,062.21",9,2018–2019
Axis,Mutual Fund,Oct/2018,₹840.01,10,2018–2019
Axis,Mutual Fund,Nov/2018,₹820.62,11,2018–2019
Axis,Mutual Fund,Dec/2018,₹675.59,12,2018–2019
Axis,Mutual Fund,Jan/2019,₹845.30,1,2018–2019
Axis,Mutual Fund,Feb/2019,₹723.92,2,2018–2019
Axis,Mutual Fund,Mar/2019,₹768.53,3,2018–2019
Kotak,Mutual Fund,Apr/2018,₹0.00,4,2018–2019
Kotak,Mutual Fund,May/2018,₹0.00,5,2018–2019
Kotak,Mutual Fund,Jun/2018,₹0.00,6,2018–2019
Kotak,Mutual Fund,Jul/2018,₹0.00,7,2018–2019
Kotak,Mutual Fund,Aug/2018,₹114.86,8,2018–2019
Kotak,Mutual Fund,Sep/2018,₹0.00,9,2018–2019
Kotak,Mutual Fund,Oct/2018,₹0.00,10,2018–2019
Kotak,Mutual Fund,Nov/2018,₹0.00,11,2018–2019
Kotak,Mutual Fund,Dec/2018,₹102.68,12,2018–2019
Kotak,Mutual Fund,Jan/2019,₹0.00,1,2018–2019
Kotak,Mutual Fund,Feb/2019,₹0.00,2,2018–2019
Kotak,Mutual Fund,Mar/2019,₹122.22,3,2018–2019
Tata,Mutual Fund,Apr/2018,₹371.62,4,2018–2019
Tata,Mutual Fund,May/2018,₹121.56,5,2018–2019
Tata,Mutual Fund,Jun/2018,"₹2,004.49",6,2018–2019
Tata,Mutual Fund,Jul/2018,₹362.30,7,2018–2019
Tata,Mutual Fund,Aug/2018,₹570.95,8,2018–2019
Tata,Mutual Fund,Sep/2018,₹612.77,9,2018–2019
Tata,Mutual Fund,Oct/2018,₹104.82,10,2018–2019
Tata,Mutual Fund,Nov/2018,₹170.58,11,2018–2019
Tata,Mutual Fund,Dec/2018,₹162.74,12,2018–2019
Tata,Mutual Fund,Jan/2019,₹368.15,1,2018–2019
Tata,Mutual Fund,Feb/2019,₹257.23,2,2018–2019
Tata,Mutual Fund,Mar/2019,₹803.98,3,2018–2019
SUND,Mutual Fund,Apr/2018,₹0.00,4,2018–2019
SUND,Mutual Fund,May/2018,₹0.00,5,2018–2019
SUND,Mutual Fund,Jun/2018,"₹2,281.88",6,2018–2019
SUND,Mutual Fund,Jul/2018,₹0.00,7,2018–2019
SUND,Mutual Fund,Aug/2018,"₹1,855.37",8,2018–2019
SUND,Mutual Fund,Sep/2018,"₹1,188.41",9,2018–2019
SUND,Mutual Fund,Oct/2018,"₹1,186.86",10,2018–2019
SUND,Mutual Fund,Nov/2018,₹0.00,11,2018–2019
SUND,Mutual Fund,Dec/2018,₹151.02,12,2018–2019
SUND,Mutual Fund,Jan/2019,₹0.00,1,2018–2019
SUND,Mutual Fund,Feb/2019,₹0.00,2,2018–2019
SUND,Mutual Fund,Mar/2019,₹0.00,3,2018–2019
LIC MF,Mutual Fund,Apr/2018,"₹1,473.50",4,2018–2019
LIC MF,Mutual Fund,May/2018,"₹1,090.96",5,2018–2019
LIC MF,Mutual Fund,Jun/2018,₹801.10,6,2018–2019
LIC MF,Mutual Fund,Jul/2018,₹868.78,7,2018–2019
LIC MF,Mutual Fund,Aug/2018,₹801.05,8,2018–2019
LIC MF,Mutual Fund,Sep/2018,₹844.94,9,2018–2019
LIC MF,Mutual Fund,Oct/2018,₹576.32,10,2018–2019
LIC MF,Mutual Fund,Nov/2018,₹922.21,11,2018–2019
LIC MF,Mutual Fund,Dec/2018,₹708.61,12,2018–2019
LIC MF,Mutual Fund,Jan/2019,₹541.75,1,2018–2019
LIC MF,Mutual Fund,Feb/2019,₹556.48,2,2018–2019
LIC MF,Mutual Fund,Mar/2019,₹634.94,3,2018–2019
LNT,Mutual Fund,Apr/2018,₹903.52,4,2018–2019
LNT,Mutual Fund,May/2018,₹913.32,5,2018–2019
LNT,Mutual Fund,Jun/2018,₹553.57,6,2018–2019
LNT,Mutual Fund,Jul/2018,₹749.54,7,2018–2019
LNT,Mutual Fund,Aug/2018,₹771.06,8,2018–2019
LNT,Mutual Fund,Sep/2018,₹645.01,9,2018–2019
LNT,Mutual Fund,Oct/2018,₹156.64,10,2018–2019
LNT,Mutual Fund,Nov/2018,₹538.71,11,2018–2019
LNT,Mutual Fund,Dec/2018,₹434.87,12,2018–2019
LNT,Mutual Fund,Jan/2019,₹739.85,1,2018–2019
LNT,Mutual Fund,Feb/2019,₹390.55,2,2018–2019
LNT,Mutual Fund,Mar/2019,₹330.41,3,2018–2019
FRANK,Mutual Fund,Apr/2018,₹64.76,4,2018–2019
FRANK,Mutual Fund,May/2018,₹37.49,5,2018–2019
FRANK,Mutual Fund,Jun/2018,₹60.90,6,2018–2019
FRANK,Mutual Fund,Jul/2018,₹57.62,7,2018–2019
FRANK,Mutual Fund,Aug/2018,₹52.92,8,2018–2019
FRANK,Mutual Fund,Sep/2018,₹55.86,9,2018–2019
FRANK,Mutual Fund,Oct/2018,₹55.14,10,2018–2019
FRANK,Mutual Fund,Nov/2018,₹33.92,11,2018–2019
FRANK,Mutual Fund,Dec/2018,₹59.98,12,2018–2019
FRANK,Mutual Fund,Jan/2019,₹50.27,1,2018–2019
FRANK,Mutual Fund,Feb/2019,₹44.61,2,2018–2019
FRANK,Mutual Fund,Mar/2019,₹40.60,3,2018–2019
DSP,Mutual Fund,Apr/2018,₹283.63,4,2018–2019
DSP,Mutual Fund,May/2018,₹289.52,5,2018–2019
DSP,Mutual Fund,Jun/2018,₹614.17,6,2018–2019
DSP,Mutual Fund,Jul/2018,₹300.47,7,2018–2019
DSP,Mutual Fund,Aug/2018,₹175.01,8,2018–2019
DSP,Mutual Fund,Sep/2018,₹263.69,9,2018–2019
DSP,Mutual Fund,Oct/2018,₹552.73,10,2018–2019
DSP,Mutual Fund,Nov/2018,₹360.05,11,2018–2019
DSP,Mutual Fund,Dec/2018,-₹31.43,12,2018–2019
DSP,Mutual Fund,Jan/2019,₹293.52,1,2018–2019
DSP,Mutual Fund,Feb/2019,₹0.00,2,2018–2019
DSP,Mutual Fund,Mar/2019,₹0.00,3,2018–2019
UTI,Mutual Fund,Apr/2018,₹52.50,4,2018–2019
UTI,Mutual Fund,May/2018,₹0.00,5,2018–2019
UTI,Mutual Fund,Jun/2018,₹52.50,6,2018–2019
UTI,Mutual Fund,Jul/2018,₹0.00,7,2018–2019
UTI,Mutual Fund,Aug/2018,₹0.00,8,2018–2019
UTI,Mutual Fund,Sep/2018,₹105.00,9,2018–2019
UTI,Mutual Fund,Oct/2018,₹105.00,10,2018–2019
UTI,Mutual Fund,Nov/2018,₹105.00,11,2018–2019
UTI,Mutual Fund,Dec/2018,₹0.00,12,2018–2019
UTI,Mutual Fund,Jan/2019,₹0.00,1,2018–2019
UTI,Mutual Fund,Feb/2019,₹0.00,2,2018–2019
UTI,Mutual Fund,Mar/2019,₹0.00,3,2018–2019
LIC,Life Insurance,Apr/2018,"₹20,735.95",4,2018–2019
LIC,Life Insurance,May/2018,"₹11,629.60",5,2018–2019
LIC,Life Insurance,Jun/2018,"₹20,044.03",6,2018–2019
LIC,Life Insurance,Jul/2018,"₹23,531.08",7,2018–2019
LIC,Life Insurance,Aug/2018,"₹27,925.76",8,2018–2019
LIC,Life Insurance,Sep/2018,"₹24,845.74",9,2018–2019
LIC,Life Insurance,Oct/2018,"₹26,629.33",10,2018–2019
LIC,Life Insurance,Nov/2018,"₹11,566.70",11,2018–2019
LIC,Life Insurance,Dec/2018,"₹34,792.46",12,2018–2019
LIC,Life Insurance,Jan/2019,"₹18,817.43",1,2018–2019
LIC,Life Insurance,Feb/2019,"₹9,636.48",2,2018–2019
LIC,Life Insurance,Mar/2019,"₹65,197.84",3,2018–2019
Star Health,Health Insurance,Apr/2018,"₹4,413.00",4,2018–2019
Star Health,Health Insurance,May/2018,"₹3,335.00",5,2018–2019
Star Health,Health Insurance,Jun/2018,"₹49,023.00",6,2018–2019
Star Health,Health Insurance,Jul/2018,"₹2,451.00",7,2018–2019
Star Health,Health Insurance,Aug/2018,"₹11,667.00",8,2018–2019
Star Health,Health Insurance,Sep/2018,"₹8,189.00",9,2018–2019
Star Health,Health Insurance,Oct/2018,"₹6,492.00",10,2018–2019
Star Health,Health Insurance,Nov/2018,"₹3,542.00",11,2018–2019
Star Health,Health Insurance,Dec/2018,"₹5,157.00",12,2018–2019
Star Health,Health Insurance,Jan/2019,"₹6,797.00",1,2018–2019
Star Health,Health Insurance,Feb/2019,"₹11,398.00",2,2018–2019
Star Health,Health Insurance,Mar/2019,"₹16,401.00",3,2018–2019
ICICI Mutual Fund,Mutual Fund,Apr/2019,"₹24,024.23",4,2019–2020
ICICI Mutual Fund,Mutual Fund,May/2019,"₹15,112.15",5,2019–2020
ICICI Mutual Fund,Mutual Fund,Jun/2019,"₹19,377.20",6,2019–2020
ICICI Mutual Fund,Mutual Fund,Jul/2019,"₹17,972.09",7,2019–2020
ICICI Mutual Fund,Mutual Fund,Aug/2019,"₹20,375.98",8,2019–2020
ICICI Mutual Fund,Mutual Fund,Sep/2019,"₹19,324.42",9,2019–2020
ICICI Mutual Fund,Mutual Fund,Oct/2019,"₹19,309.11",10,2019–2020
ICICI Mutual Fund,Mutual Fund,Nov/2019,"₹20,680.64",11,2019–2020
ICICI Mutual Fund,Mutual Fund,Dec/2019,"₹20,835.84",12,2019–2020
ICICI Mutual Fund,Mutual Fund,Jan/2020,"₹21,675.74",1,2019–2020
ICICI Mutual Fund,Mutual Fund,Feb/2020,"₹22,012.40",2,2019–2020
ICICI Mutual Fund,Mutual Fund,Mar/2020,"₹20,128.69",3,2019–2020
HDFC,Mutual Fund,Apr/2019,"₹3,855.04",4,2019–2020
HDFC,Mutual Fund,May/2019,"₹1,963.40",5,2019–2020
HDFC,Mutual Fund,Jun/2019,"₹2,326.16",6,2019–2020
HDFC,Mutual Fund,Jul/2019,"₹2,479.59",7,2019–2020
HDFC,Mutual Fund,Aug/2019,"₹2,738.01",8,2019–2020
HDFC,Mutual Fund,Sep/2019,"₹2,511.59",9,2019–2020
HDFC,Mutual Fund,Oct/2019,"₹2,545.51",10,2019–2020
HDFC,Mutual Fund,Nov/2019,"₹2,476.03",11,2019–2020
HDFC,Mutual Fund,Dec/2019,"₹2,701.03",12,2019–2020
HDFC,Mutual Fund,Jan/2020,"₹2,683.15",1,2019–2020
HDFC,Mutual Fund,Feb/2020,"₹2,926.30",2,2019–2020
HDFC,Mutual Fund,Mar/2020,"₹2,727.38",3,2019–2020
IDFC,Mutual Fund,Apr/2019,"₹2,988.86",4,2019–2020
IDFC,Mutual Fund,May/2019,"₹2,775.98",5,2019–2020
IDFC,Mutual Fund,Jun/2019,"₹2,995.65",6,2019–2020
IDFC,Mutual Fund,Jul/2019,"₹3,138.32",7,2019–2020
IDFC,Mutual Fund,Aug/2019,"₹2,855.19",8,2019–2020
IDFC,Mutual Fund,Sep/2019,"₹3,358.96",9,2019–2020
IDFC,Mutual Fund,Oct/2019,"₹3,058.84",10,2019–2020
IDFC,Mutual Fund,Nov/2019,"₹3,645.89",11,2019–2020
IDFC,Mutual Fund,Dec/2019,"₹3,796.60",12,2019–2020
IDFC,Mutual Fund,Jan/2020,"₹4,080.25",1,2019–2020
IDFC,Mutual Fund,Feb/2020,"₹4,216.84",2,2019–2020
IDFC,Mutual Fund,Mar/2020,"₹4,106.33",3,2019–2020
ABSL,Mutual Fund,Apr/2019,"₹3,441.36",4,2019–2020
ABSL,Mutual Fund,May/2019,"₹3,427.41",5,2019–2020
ABSL,Mutual Fund,Jun/2019,"₹3,355.34",6,2019–2020
ABSL,Mutual Fund,Jul/2019,"₹3,424.13",7,2019–2020
ABSL,Mutual Fund,Aug/2019,"₹3,323.57",8,2019–2020
ABSL,Mutual Fund,Sep/2019,"₹3,719.62",9,2019–2020
ABSL,Mutual Fund,Oct/2019,"₹3,705.51",10,2019–2020
ABSL,Mutual Fund,Nov/2019,"₹3,639.95",11,2019–2020
ABSL,Mutual Fund,Dec/2019,"₹3,960.88",12,2019–2020
ABSL,Mutual Fund,Jan/2020,"₹4,118.60",1,2019–2020
ABSL,Mutual Fund,Feb/2020,"₹4,341.24",2,2019–2020
ABSL,Mutual Fund,Mar/2020,"₹3,907.84",3,2019–2020
SBI,Mutual Fund,Apr/2019,₹916.94,4,2019–2020
SBI,Mutual Fund,May/2019,₹201.59,5,2019–2020
SBI,Mutual Fund,Jun/2019,₹353.23,6,2019–2020
SBI,Mutual Fund,Jul/2019,₹378.56,7,2019–2020
SBI,Mutual Fund,Aug/2019,₹433.33,8,2019–2020
SBI,Mutual Fund,Sep/2019,₹435.14,9,2019–2020
SBI,Mutual Fund,Oct/2019,₹468.83,10,2019–2020
SBI,Mutual Fund,Nov/2019,₹567.48,11,2019–2020
SBI,Mutual Fund,Dec/2019,₹551.49,12,2019–2020
SBI,Mutual Fund,Jan/2020,₹641.66,1,2019–2020
SBI,Mutual Fund,Feb/2020,₹694.86,2,2019–2020
SBI,Mutual Fund,Mar/2020,₹662.96,3,2019–2020
Reliance,Mutual Fund,Apr/2019,₹763.31,4,2019–2020
Reliance,Mutual Fund,May/2019,₹489.85,5,2019–2020
Reliance,Mutual Fund,Jun/2019,₹521.90,6,2019–2020
Reliance,Mutual Fund,Jul/2019,₹823.00,7,2019–2020
Reliance,Mutual Fund,Aug/2019,₹667.06,8,2019–2020
Reliance,Mutual Fund,Sep/2019,₹599.36,9,2019–2020
Reliance,Mutual Fund,Oct/2019,₹607.93,10,2019–2020
Reliance,Mutual Fund,Nov/2019,₹649.00,11,2019–2020
Reliance,Mutual Fund,Dec/2019,₹682.35,12,2019–2020
Reliance,Mutual Fund,Jan/2020,₹714.55,1,2019–2020
Reliance,Mutual Fund,Feb/2020,₹729.66,2,2019–2020
Reliance,Mutual Fund,Mar/2020,₹666.98,3,2019–2020
Axis,Mutual Fund,Apr/2019,₹768.53,4,2019–2020
Axis,Mutual Fund,May/2019,₹596.40,5,2019–2020
Axis,Mutual Fund,Jun/2019,₹982.63,6,2019–2020
Axis,Mutual Fund,Jul/2019,₹893.31,7,2019–2020
Axis,Mutual Fund,Aug/2019,₹821.54,8,2019–2020
Axis,Mutual Fund,Sep/2019,₹0.00,9,2019–2020
Axis,Mutual Fund,Oct/2019,₹707.07,10,2019–2020
Axis,Mutual Fund,Nov/2019,₹907.30,11,2019–2020
Axis,Mutual Fund,Dec/2019,₹931.49,12,2019–2020
Axis,Mutual Fund,Jan/2020,₹966.96,1,2019–2020
Axis,Mutual Fund,Feb/2020,"₹1,172.71",2,2019–2020
Axis,Mutual Fund,Mar/2020,"₹1,262.60",3,2019–2020
Kotak,Mutual Fund,Apr/2019,₹122.23,4,2019–2020
Kotak,Mutual Fund,May/2019,₹0.00,5,2019–2020
Kotak,Mutual Fund,Jun/2019,₹108.39,6,2019–2020
Kotak,Mutual Fund,Jul/2019,₹0.00,7,2019–2020
Kotak,Mutual Fund,Aug/2019,₹262.61,8,2019–2020
Kotak,Mutual Fund,Sep/2019,₹769.06,9,2019–2020
Kotak,Mutual Fund,Oct/2019,₹939.61,10,2019–2020
Kotak,Mutual Fund,Nov/2019,"₹1,151.17",11,2019–2020
Kotak,Mutual Fund,Dec/2019,"₹1,362.68",12,2019–2020
Kotak,Mutual Fund,Jan/2020,"₹1,642.57",1,2019–2020
Kotak,Mutual Fund,Feb/2020,"₹1,860.43",2,2019–2020
Kotak,Mutual Fund,Mar/2020,"₹1,958.91",3,2019–2020
Tata,Mutual Fund,Apr/2019,₹803.97,4,2019–2020
Tata,Mutual Fund,May/2019,₹924.72,5,2019–2020
Tata,Mutual Fund,Jun/2019,₹982.63,6,2019–2020
Tata,Mutual Fund,Jul/2019,₹985.04,7,2019–2020
Tata,Mutual Fund,Aug/2019,"₹1,031.62",8,2019–2020
Tata,Mutual Fund,Sep/2019,"₹1,042.76",9,2019–2020
Tata,Mutual Fund,Oct/2019,₹795.44,10,2019–2020
Tata,Mutual Fund,Nov/2019,"₹1,192.04",11,2019–2020
Tata,Mutual Fund,Dec/2019,"₹1,150.22",12,2019–2020
Tata,Mutual Fund,Jan/2020,"₹1,222.28",1,2019–2020
Tata,Mutual Fund,Feb/2020,"₹1,264.08",2,2019–2020
Tata,Mutual Fund,Mar/2020,"₹1,176.99",3,2019–2020
SUND,Mutual Fund,Apr/2019,₹0.00,4,2019–2020
SUND,Mutual Fund,May/2019,₹0.00,5,2019–2020
SUND,Mutual Fund,Jun/2019,₹281.20,6,2019–2020
SUND,Mutual Fund,Jul/2019,₹203.49,7,2019–2020
SUND,Mutual Fund,Aug/2019,₹0.00,8,2019–2020
SUND,Mutual Fund,Sep/2019,₹558.42,9,2019–2020
SUND,Mutual Fund,Oct/2019,₹223.57,10,2019–2020
SUND,Mutual Fund,Nov/2019,₹0.00,11,2019–2020
SUND,Mutual Fund,Dec/2019,₹235.93,12,2019–2020
SUND,Mutual Fund,Jan/2020,₹284.32,1,2019–2020
SUND,Mutual Fund,Feb/2020,₹0.00,2,2019–2020
SUND,Mutual Fund,Mar/2020,₹0.00,3,2019–2020
LIC MF,Mutual Fund,Apr/2019,₹634.94,4,2019–2020
LIC MF,Mutual Fund,May/2019,₹640.46,5,2019–2020
LIC MF,Mutual Fund,Jun/2019,₹664.28,6,2019–2020
LIC MF,Mutual Fund,Jul/2019,₹639.75,7,2019–2020
LIC MF,Mutual Fund,Aug/2019,₹623.80,8,2019–2020
LIC MF,Mutual Fund,Sep/2019,₹573.01,9,2019–2020
LIC MF,Mutual Fund,Oct/2019,₹550.30,10,2019–2020
LIC MF,Mutual Fund,Nov/2019,₹582.82,11,2019–2020
LIC MF,Mutual Fund,Dec/2019,₹545.51,12,2019–2020
LIC MF,Mutual Fund,Jan/2020,₹561.56,1,2019–2020
LIC MF,Mutual Fund,Feb/2020,₹561.40,2,2019–2020
LIC MF,Mutual Fund,Mar/2020,₹525.30,3,2019–2020
LNT,Mutual Fund,Apr/2019,₹330.41,4,2019–2020
LNT,Mutual Fund,May/2019,₹353.87,5,2019–2020
LNT,Mutual Fund,Jun/2019,₹361.56,6,2019–2020
LNT,Mutual Fund,Jul/2019,₹356.58,7,2019–2020
LNT,Mutual Fund,Aug/2019,₹270.06,8,2019–2020
LNT,Mutual Fund,Sep/2019,₹194.77,9,2019–2020
LNT,Mutual Fund,Oct/2019,₹547.75,10,2019–2020
LNT,Mutual Fund,Nov/2019,₹377.92,11,2019–2020
LNT,Mutual Fund,Dec/2019,₹365.10,12,2019–2020
LNT,Mutual Fund,Jan/2020,₹379.35,1,2019–2020
LNT,Mutual Fund,Feb/2020,₹388.03,2,2019–2020
LNT,Mutual Fund,Mar/2020,₹359.62,3,2019–2020
FRANK,Mutual Fund,Apr/2019,₹48.34,4,2019–2020
FRANK,Mutual Fund,May/2019,₹36.88,5,2019–2020
FRANK,Mutual Fund,Jun/2019,₹37.75,6,2019–2020
FRANK,Mutual Fund,Jul/2019,₹37.61,7,2019–2020
FRANK,Mutual Fund,Aug/2019,₹38.59,8,2019–2020
FRANK,Mutual Fund,Sep/2019,₹37.27,9,2019–2020
FRANK,Mutual Fund,Oct/2019,₹37.54,10,2019–2020
FRANK,Mutual Fund,Nov/2019,₹40.39,11,2019–2020
FRANK,Mutual Fund,Dec/2019,₹41.26,12,2019–2020
FRANK,Mutual Fund,Jan/2020,₹48.32,1,2019–2020
FRANK,Mutual Fund,Feb/2020,₹45.64,2,2019–2020
FRANK,Mutual Fund,Mar/2020,₹42.91,3,2019–2020
DSP,Mutual Fund,Apr/2019,₹0.00,4,2019–2020
DSP,Mutual Fund,May/2019,₹0.00,5,2019–2020
DSP,Mutual Fund,Jun/2019,₹0.00,6,2019–2020
DSP,Mutual Fund,Jul/2019,₹280.50,7,2019–2020
DSP,Mutual Fund,Aug/2019,₹177.43,8,2019–2020
DSP,Mutual Fund,Sep/2019,₹298.81,9,2019–2020
DSP,Mutual Fund,Oct/2019,₹329.70,10,2019–2020
DSP,Mutual Fund,Nov/2019,₹372.48,11,2019–2020
DSP,Mutual Fund,Dec/2019,₹358.14,12,2019–2020
DSP,Mutual Fund,Jan/2020,₹389.23,1,2019–2020
DSP,Mutual Fund,Feb/2020,₹427.10,2,2019–2020
DSP,Mutual Fund,Mar/2020,₹425.27,3,2019–2020
UTI,Mutual Fund,Apr/2019,₹0.00,4,2019–2020
UTI,Mutual Fund,May/2019,₹0.00,5,2019–2020
UTI,Mutual Fund,Jun/2019,₹55.13,6,2019–2020
UTI,Mutual Fund,Jul/2019,₹0.00,7,2019–2020
UTI,Mutual Fund,Aug/2019,₹0.00,8,2019–2020
UTI,Mutual Fund,Sep/2019,₹0.00,9,2019–2020
UTI,Mutual Fund,Oct/2019,₹0.00,10,2019–2020
UTI,Mutual Fund,Nov/2019,₹0.00,11,2019–2020
UTI,Mutual Fund,Dec/2019,₹53.46,12,2019–2020
UTI,Mutual Fund,Jan/2020,₹0.00,1,2019–2020
UTI,Mutual Fund,Feb/2020,₹0.00,2,2019–2020
UTI,Mutual Fund,Mar/2020,₹63.73,3,2019–2020
Edelweis,Mutual Fund,Apr/2019,₹0.00,4,2019–2020
Edelweis,Mutual Fund,May/2019,₹0.00,5,2019–2020
Edelweis,Mutual Fund,Jun/2019,₹0.00,6,2019–2020
Edelweis,Mutual Fund,Jul/2019,₹0.00,7,2019–2020
Edelweis,Mutual Fund,Aug/2019,₹0.00,8,2019–2020
Edelweis,Mutual Fund,Sep/2019,₹0.00,9,2019–2020
Edelweis,Mutual Fund,Oct/2019,₹102.36,10,2019–2020
Edelweis,Mutual Fund,Nov/2019,₹0.00,11,2019–2020
Edelweis,Mutual Fund,Dec/2019,₹0.00,12,2019–2020
Edelweis,Mutual Fund,Jan/2020,₹0.00,1,2019–2020
Edelweis,Mutual Fund,Feb/2020,₹0.00,2,2019–2020
Edelweis,Mutual Fund,Mar/2020,₹115.72,3,2019–2020
LIC,Life Insurance,Apr/2019,"₹21,300.00",4,2019–2020
LIC,Life Insurance,May/2019,"₹9,362.00",5,2019–2020
LIC,Life Insurance,Jun/2019,"₹4,743.00",6,2019–2020
